TxPackets;TxTime;TxId;xPos;yPos
10107;13215;4;59;25
10116;13219;0;65;54
10125;13220;3;17;55
10134;13223;7;42;76
10143;13229;6;78;15
10152;13238;4;59;25
10161;13267;2;5;26
10170;13280;1;71;52
10179;13306;8;86;96
10188;13311;5;31;25
10197;13314;-1;66;72
10206;13319;0;65;54
10215;13320;3;17;55
10224;13323;7;42;76
10233;13329;6;78;15
10242;13338;4;59;25
10251;13367;2;5;26
10260;13380;1;71;52
10269;13406;8;86;96
10278;13411;5;31;25
10287;13414;-1;66;72
10296;13419;0;65;54
10305;13420;3;17;55
10314;13423;7;42;76
10323;13429;6;78;15
10332;13438;4;59;25
10341;13467;2;5;26
10350;13480;1;71;52
10359;13506;8;86;96
10368;13511;5;31;25
10377;13514;-1;66;72
